feature,n_pairs,mean_delta,median_delta,std_delta,std_delta_xmodel,cohens_d,sign_agreement,wilcoxon_p,n_qwen,n_llama,n_gemma,abs_std_delta_xmodel,wilcoxon_q
consistency_format_robustness.mean_nll_overall,6,2.856051762898763,0.5311349232991536,5.500160426977124,1.273367363321928,0.5192669924481536,1.0,0.03125,4,1,1,1.273367363321928,0.2361111111111111
causality_ablation.loss_ablate_1pct,6,1.3726562500000001,0.12109375,3.07696151075568,1.132242809520549,0.4461077089205726,1.0,0.03125,4,1,1,1.132242809520549,0.2361111111111111
causality_attention_knockout.per_head_impacts.min,6,-0.20442708333333315,-0.0026041666666664996,0.49310499250884987,-1.1220765393855137,-0.4145711084636083,0.5,0.3125,4,1,1,1.1220765393855137,0.6611111111111111
dynamics_sharpness.baseline_loss,6,1.5169270833333333,0.15625,3.337020157550901,1.1159633825810844,0.4545753431848111,1.0,0.03125,4,1,1,1.1159633825810844,0.2361111111111111
causality_attention_knockout.baseline_loss,6,1.2829861111111112,0.15885416666666674,2.778497031447321,1.1065279622111444,0.4617554370546881,1.0,0.03125,4,1,1,1.1065279622111444,0.2361111111111111
causality_ablation.baseline_loss,6,1.3119791666666667,0.11953125000000009,2.9551551663646474,1.1014501127657692,0.44396286922579037,1.0,0.03125,4,1,1,1.1014501127657692,0.2361111111111111
dynamics_gradient_flow.gradient_norm_per_layer.max,6,11.566462328036627,1.6209207773208618,25.54845967445101,1.101410996764246,0.4527264060307843,0.8333333333333334,0.0625,4,1,1,1.101410996764246,0.27070063694267515
dynamics_gradient_flow.gradient_norm_max,6,11.566462328036627,1.6209207773208618,25.54845967445101,1.101410996764246,0.4527264060307843,0.8333333333333334,0.0625,4,1,1,1.101410996764246,0.27070063694267515
dynamics_sharpness.sam_perturbed_loss,6,1.8489583333333333,0.2421875,3.7707585167531836,1.092444496439786,0.4903412205047225,1.0,0.03125,4,1,1,1.092444496439786,0.2361111111111111
dynamics_gradient_flow.gradient_norm_per_layer.std,6,2.859856495729737,0.30949510771019373,6.444859666344595,1.0860235517279462,0.4437422447945705,0.8333333333333334,0.0625,4,1,1,1.0860235517279462,0.27070063694267515
dynamics_gradient_flow.gradient_norm_per_layer.q25,6,10.773366566126546,0.16006487607955933,26.051741301585484,1.08506997351592,0.413537292628915,1.0,0.03125,4,1,1,1.08506997351592,0.2361111111111111
interpretability_attention_graph.max_sink_pagerank,6,-0.026922445159382375,-0.008891329172146967,0.04894947455034591,-1.074236419303631,-0.5500047836405656,1.0,0.03125,4,1,1,1.074236419303631,0.2361111111111111
