feature,coefficient,abs_coefficient
geometry_tokenizer_efficiency.vocab_utilization,-0.12182940272261428,0.12182940272261428
causality_knowledge_neurons.localization_layer_mean,0.04547166532421081,0.04547166532421081
topology_betti_curve.betti_0_curve.min,-0.03336958421421312,0.03336958421421312
geometry_unembedding.unembedding_is_tied,-0.03319443033509995,0.03319443033509995
repe_task_vectors.layer_task_vector_cosine_sim.q75,-0.02848341188936851,0.02848341188936851
causality_ablation.degradation_25pct,0.024500619601170285,0.024500619601170285
repe_task_vectors.layer_task_vector_norms.q50,0.02399041220124774,0.02399041220124774
interpretability_induction_heads.causal_validation_score,-0.02158079941944091,0.02158079941944091
interpretability_attention_rank.layer_max_effective_rank.q25,-0.019906759024581423,0.019906759024581423
geometry_hsic.input_to_layer_hsic.min,0.0190026765996885,0.0190026765996885
geometry_schatten.rankme_per_layer.q25,-0.018048330594866352,0.018048330594866352
interpretability_logit_lens.acc.mean,-0.018038194210675543,0.018038194210675543
interpretability_waa.layer_waa_alignments.q75,-0.016138057336637864,0.016138057336637864
causality_circuit_quality.layer_importances.q25,0.0160389548191182,0.0160389548191182
repe_refusal_direction.direction_norm,0.015126740762180539,0.015126740762180539
causality_edge_attribution.mean_layer_attribution_profile.std,-0.01488058667119249,0.01488058667119249
interpretability_sparsity.layer_kurtosis.q25,0.012848841241860193,0.012848841241860193
interpretability_attention_graph.bos_sink_ratio,-0.012727757977980819,0.012727757977980819
interpretability_logit_lens.entropy.min,-0.012290221526660074,0.012290221526660074
dynamics_gradient_flow.gradient_norm_per_layer.min,-0.012233407109860234,0.012233407109860234
geometry_cka.n_layers,0.01152599777717496,0.01152599777717496
interpretability_sparsity.layer_kurtosis.q50,0.011293452759640698,0.011293452759640698
interpretability_logit_lens.acc.std,-0.00969324821865601,0.00969324821865601
geometry_contextualization.per_layer.intra_sentence_similarity_corrected.q25,0.009676446945000864,0.009676446945000864
interpretability_attention_entropy.avg_entropy_per_layer.max,-0.008974498093231103,0.008974498093231103
interpretability_waa.layer_waa_alignments.mean,-0.007501173763272686,0.007501173763272686
consistency_icl_slope.icl_relative_gain,0.006612608119870743,0.006612608119870743
topology_homology.num_loops_h1.q50,0.006402057720573591,0.006402057720573591
causality_ablation.loss_ablate_25pct,0.005916397905628452,0.005916397905628452
geometry_weight_norms.stable_rank_per_layer.q75,0.005563388740977074,0.005563388740977074
topology_homology.num_loops_h1.slope,-0.004579221633998009,0.004579221633998009
causality_tracing.aie.min,-0.0033013411923199258,0.0033013411923199258
consistency_position_sensitivity.position_argmin,-0.0029621693027630184,0.0029621693027630184
causality_tracing.aie.q50,0.002868538736124634,0.002868538736124634
geometry_prediction_alignment.prediction_alignment_std,-0.0027109261382173544,0.0027109261382173544
geometry_lid.lid_max,0.002687695781211962,0.002687695781211962
interpretability_waa.layer_waa_alignments.q50,-0.00197800192791025,0.00197800192791025
dynamics_coe.per_sample_mean_magnitude.slope,-0.0012828886869405147,0.0012828886869405147
interpretability_sparsity.layer_l0_rates.min,-0.0011955241974342394,0.0011955241974342394
interpretability_superposition.utilization_per_layer.q50,0.0011713997597432987,0.0011713997597432987
topology_betti_curve.betti_1_curve.slope,-0.0008882064337179366,0.0008882064337179366
geometry_svd.numerical_rank,9.681096409709113e-05,9.681096409709113e-05
dynamics_gradient_flow.gradient_norm_min,-4.299890801368389e-05,4.299890801368389e-05
repe_refusal_direction.mean_projection_gap,3.581616147654722e-08,3.581616147654722e-08
