feature,benchmark,partial_rho,p,n,q
geometry_spectral.avg_alpha,benchmark_arc_challenge_acc,0.32986647719417245,0.026905248833506423,46,0.051351793465517485
geometry_spectral.avg_alpha,benchmark_arc_easy_acc,0.3532715272892284,0.01729152490552499,46,0.03596745355781039
geometry_spectral.avg_alpha,benchmark_hellaswag_acc,0.3865653206757653,0.008715249622239352,46,0.018359790990942263
geometry_spectral.avg_alpha,benchmark_piqa_acc,0.3318956237725533,0.025925423447254126,46,0.048844032319440116
geometry_spectral.avg_alpha,benchmark_winogrande_acc,0.3562655346474221,0.016303334442087536,46,0.0324733991203433
geometry_spectral.avg_alpha,benchmark_mmlu_acc,0.3183425153298462,0.0330723669453572,46,0.06498897913187128
geometry_spectral.avg_alpha,benchmark_mmlu_humanities_acc,0.35655082389316306,0.016211722086064917,46,0.034250777008420386
geometry_spectral.avg_alpha,benchmark_mmlu_formal_logic_acc,0.3558128380289727,0.016449605046523263,46,0.038926069699509805
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_european_history_acc,0.43419084533542346,0.0028822000668189407,46,0.007894804303597576
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_us_history_acc,0.3600574636055606,0.015120837790274289,46,0.034115223532995384
geometry_spectral.avg_alpha,benchmark_mmlu_high_school_world_history_acc,0.35361980910038127,0.01717402952757019,46,0.03960320373707826
geometry_spectral.avg_alpha,benchmark_mmlu_international_law_acc,0.33068766011273565,0.026505068540948473,46,0.05749319021790307
geometry_spectral.avg_alpha,benchmark_mmlu_jurisprudence_acc,0.33202559041798557,0.025863693300882007,46,0.05257907133945419
geometry_spectral.avg_alpha,benchmark_mmlu_logical_fallacies_acc,0.31112785129032255,0.03749610419143323,46,0.07270464764970211
geometry_spectral.avg_alpha,benchmark_mmlu_moral_disputes_acc,0.35015348537729685,0.018374040296864846,46,0.03962408530438844
geometry_spectral.avg_alpha,benchmark_mmlu_moral_scenarios_acc,0.30535013525594723,0.04137917536730518,46,0.0836318744787477
geometry_spectral.avg_alpha,benchmark_mmlu_philosophy_acc,0.39467162078526996,0.0072984357414771495,46,0.017607777316897017
geometry_spectral.avg_alpha,benchmark_mmlu_prehistory_acc,0.36575142892563905,0.013482380395851035,46,0.029596456664766083
geometry_spectral.avg_alpha,benchmark_mmlu_professional_law_acc,0.31479301443671687,0.03519167673262702,46,0.06716740389438734
geometry_spectral.avg_alpha,benchmark_mmlu_world_religions_acc,0.36145010480959283,0.014705238329059567,46,0.03180334088326196
geometry_spectral.avg_alpha,benchmark_mmlu_other_acc,0.3791630979225722,0.0102099998264773,46,0.023470156833820463
geometry_spectral.avg_alpha,benchmark_mmlu_business_ethics_acc,0.3761088846186139,0.01088804975175961,46,0.025347657224637818
geometry_spectral.avg_alpha,benchmark_mmlu_clinical_knowledge_acc,0.36095081850819954,0.014853107350407457,46,0.033102504491304426
geometry_spectral.avg_alpha,benchmark_mmlu_college_medicine_acc,0.31135510118738374,0.03734971078950999,46,0.07647797923566332
geometry_spectral.avg_alpha,benchmark_mmlu_global_facts_acc,0.2068632456573041,0.17274659379509982,46,0.2856962897380497
geometry_spectral.avg_alpha,benchmark_mmlu_human_aging_acc,0.39951073565804135,0.0065514515793110295,46,0.016017093994904225
geometry_spectral.avg_alpha,benchmark_mmlu_management_acc,0.3286958776694117,0.027484394516925414,46,0.05659462645597881
geometry_spectral.avg_alpha,benchmark_mmlu_marketing_acc,0.4246323570331042,0.0036452148852355037,46,0.010017489026718621
geometry_spectral.avg_alpha,benchmark_mmlu_medical_genetics_acc,0.4027723266715127,0.006086222207057235,46,0.015889387261995853
geometry_spectral.avg_alpha,benchmark_mmlu_miscellaneous_acc,0.39712935460969323,0.006910322948419756,46,0.016267216223211953
geometry_spectral.avg_alpha,benchmark_mmlu_nutrition_acc,0.3566147092020045,0.016191267073577098,46,0.03470913850670047
geometry_spectral.avg_alpha,benchmark_mmlu_professional_accounting_acc,0.32721364490357663,0.028232562966999275,46,0.060879066456862745
geometry_spectral.avg_alpha,benchmark_mmlu_professional_medicine_acc,0.326015942887189,0.028849406520816245,46,0.06553958955586188
geometry_spectral.avg_alpha,benchmark_mmlu_virology_acc,0.4392415201526618,0.002538875589247258,46,0.00646661343463326
geometry_spectral.avg_alpha,benchmark_mmlu_social_sciences_acc,0.29631061854615764,0.04810820977624486,46,0.09087106291068472
